,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
323,188.14,13,0,0.5,6,5,2,36.71,135.38,-0.3,-2.39,-3.7,-1.07,-1.85,-1.86,0.9,1480.0,7.86,0.09,229.0,1.22,0.87,1390.0,7.41,0,0,0,0,0,0,0,0,-9.14,0,2,0,1,2,0.56,0,0,1,2.06
324,524.48,35,0,0.84,17,15,3,136.24,176.78,3.91,0.79,0.56,-0.76,-1.55,0.59,-2.47,1.79,0.00341,-4.08,0.0433,8.25e-05,-1.92,6.35,0.0121,0,0,1,0,0,0,0,0,-8.94,2,2,2,1,3,0.17,0,4,2,5.89
325,482.51,33,6,0.62,12,10,4,140.69,139.4,3.03,1.06,-0.53,-3.34,-0.29,-0.01,-2.84,0.694,0.00144,-3.58,0.127,0.000264,-4.43,0.0181,3.74e-05,0,0,1,0,0,0,0,0,-8.49,1,3,1,1,0,0.55,0,2,2,6.36
326,541.61,39,12,0.54,5,9,3,155.5,103.61,3.23,1.89,1.0,-4.54,1.54,0.62,-4.29,0.028,5.17e-05,-3.69,0.111,0.000205,-5.92,0.000647,1.19e-06,1,0,1,0,0,0,0,0,-8.26,1,3,0,0,0,0.55,0,0,1,5.74
327,485.5,35,18,0.31,7,7,1,130.88,63.69,4.02,5.81,6.51,3.25,4.88,4.89,-6.43,0.000181,3.72e-07,-6.92,5.87e-05,1.21e-07,-8.41,1.89e-06,3.89e-09,1,0,1,0,1,1,1,1,-5.14,0,3,0,1,1,0.55,0,0,2,4.16
328,552.56,36,11,0.33,8,14,3,132.07,296.25,0.08,-0.22,-5.77,-3.95,1.76,-1.62,-2.83,0.826,0.00149,-5.54,0.00158,2.86e-06,-2.02,5.34,0.00966,0,0,0,0,0,0,0,0,-9.83,2,3,1,1,2,0.11,0,5,2,5.1
329,545.57,37,11,0.32,10,11,3,133.07,246.62,-14.36,-2.63,-4.97,-3.8,1.33,-4.88,-1.13,40.9,0.0749,-2.0,5.44,0.00998,-3.47,0.186,0.000341,0,0,1,0,0,0,0,0,-11.5,2,3,1,1,3,0.11,0,3,2,5.23
330,314.72,22,17,0.06,2,5,2,83.54,83.31,2.09,2.09,1.97,1.92,3.2,2.26,-3.55,0.0892,0.000283,-3.47,0.107,0.000339,-5.67,0.000679,2.16e-06,1,0,0,1,0,0,0,0,-6.74,0,0,0,0,0,0.55,0,1,0,2.49
331,267.31,20,12,0.27,1,4,2,83.55,59.32,2.33,1.96,0.35,-1.76,2.72,1.12,-3.11,0.207,0.000776,-2.83,0.395,0.00148,-4.75,0.00472,1.77e-05,1,0,1,1,0,0,0,1,-6.54,0,0,0,0,0,0.55,0,0,0,3.02
332,775.35,44,0,0.71,14,16,6,169.27,405.95,0.0,-2.73,-2.39,0.42,-1.53,-1.25,-2.0,7.7,0.00992,-5.24,0.00443,5.71e-06,-2.77,1.31,0.00169,0,0,0,0,0,0,0,0,-12.97,3,3,2,1,5,0.17,0,6,2,6.49
333,173.99,9,0,1.0,2,6,2,25.83,177.02,-15.71,-3.49,0.18,-2.36,0.73,-4.13,1.41,4490.0,25.8,0.35,392.0,2.25,1.03,1850.0,10.6,0,0,1,0,0,0,0,0,-9.84,0,2,1,1,4,0.55,0,1,1,5.02
334,208.23,14,0,1.0,3,5,6,52.04,105.59,1.08,-2.57,-5.06,-6.16,-2.15,-2.97,0.69,1010.0,4.85,0.9,1650.0,7.91,1.97,19500.0,93.5,0,0,1,0,0,0,0,0,-9.39,1,1,0,0,2,0.55,0,0,1,3.32
335,103.1,7,0,0.75,3,3,1,22.33,60.36,0.7,-0.63,-1.49,-0.39,-0.32,-0.43,0.12,135.0,1.31,-0.17,70.5,0.684,0.18,156.0,1.51,1,0,0,0,0,0,0,0,-7.38,0,4,0,0,2,0.85,0,0,1,1.17
336,363.81,26,16,0.18,2,3,0,101.05,69.18,3.35,5.66,7.28,4.05,4.94,5.05,-5.98,0.000377,1.04e-06,-6.88,4.83e-05,1.33e-07,-6.62,8.79e-05,2.42e-07,0,0,1,1,1,1,0,0,-4.5,0,1,0,1,1,0.85,0,0,2,3.59
337,122.14,8,0,1.0,3,3,4,28.83,88.33,0.68,-2.88,-3.06,-5.6,-1.5,-2.47,1.42,3180.0,26.0,1.58,4670.0,38.2,0.99,1190.0,9.73,0,0,0,0,0,0,0,0,-9.09,0,3,0,0,3,0.55,0,0,1,1.0
338,129.16,9,0,0.5,4,2,1,34.28,67.77,1.09,-2.16,-1.69,-3.4,0.01,-1.23,0.98,1240.0,9.64,1.27,2390.0,18.5,-0.16,89.1,0.69,1,0,0,0,0,0,0,0,-8.62,0,3,0,0,2,0.55,0,1,1,1.94
339,450.91,31,12,0.48,6,7,4,113.41,108.61,3.4,2.03,1.29,0.7,2.66,2.01,-3.8,0.0706,0.000157,-3.94,0.0519,0.000115,-4.25,0.0254,5.62e-05,1,0,1,0,0,0,1,0,-7.61,0,0,0,0,0,0.55,0,0,1,4.87
340,342.3,23,0,1.0,5,11,8,68.16,189.53,-0.01,-4.25,-5.4,-4.37,-3.86,-3.58,1.05,3800.0,11.1,0.88,2590.0,7.57,3.67,1620000.0,4730.0,0,0,1,0,0,0,0,0,-11.41,2,1,1,1,4,0.17,0,0,0,5.29
341,146.14,10,0,0.6,4,3,2,32.85,110.86,0.25,-3.15,-3.39,-5.05,-1.42,-2.55,1.5,4650.0,31.8,1.39,3580.0,24.5,0.68,698.0,4.78,0,0,0,0,0,0,0,0,-9.43,0,3,0,0,2,0.55,0,0,1,1.76
